title,remote_work,contract_type,Competence,end_date,company_description,requirements,niveau d'expérience,company_name,niveau d'études requis,number_of_positions,url,description,Region,sector,posted_date,id
DevOps junior (H/F) | Rabat (Maroc),Hybride,CDI,,09/07/2025,"ALTEN DELIVERY CENTER MAROC, Filiale du leader mondial de l’ingénierie et du conseil en technologie créé en 2008 et présent à Fès, Rabat, Tétouan et Casablanca, compte aujourd’hui plus de 2300...","Détails de la mission : Intégré(e) dans les équipes Cloud & Ops le/la consultant(e) aura pour mission de : Concevoir, développer, déployer et maintenir des pipelines de données robustes et...",,ALTEN Maroc,,,/offre-emploi-devops-junior-hf-recrutement-alten-maroc-rabat-171347.html,,,['Informatique'],03/06/2025,171347
DevOps confirmé (H/F) | Rabat (Maroc),Hybride,CDI,,09/07/2025,"ALTEN DELIVERY CENTER MAROC, Filiale du leader mondial de l’ingénierie et du conseil en technologie créé en 2008 et présent à Fès, Rabat, Tétouan et Casablanca, compte aujourd’hui plus de 2300...","Détails de la mission : Intégré(e) dans les équipes Cloud & Ops le/la consultant(e) aura pour mission de : Concevoir, développer, déployer et maintenir des pipelines de données robustes et...",,ALTEN Maroc,,,/offre-emploi-devops-confirme-hf-recrutement-alten-maroc-rabat-171348.html,,,['Informatique'],03/06/2025,171348
Data Engineer confirmé (H/F) | Rabat (Maroc),Hybride,CDI,,09/07/2025,"ALTEN DELIVERY CENTER MAROC, Filiale du leader mondial de l’ingénierie et du conseil en technologie créé en 2008 et présent à Fès, Rabat, Tétouan et Casablanca, compte aujourd’hui plus de 2300...","Détails de la mission : Intégré(e) dans les équipes Data, le/la consultant(e) aura pour mission de : Contribuer à des projets Data en apportant son expertise autour des ETL BigLoader – BigQuery -...",,ALTEN Maroc,,,/offre-emploi-data-engineer-confirme-hf-recrutement-alten-maroc-rabat-171351.html,,,['Informatique'],03/06/2025,171351
Data Analyst confirmé (H/F) | Rabat (Maroc),Hybride,CDI,,09/07/2025,"ALTEN DELIVERY CENTER MAROC, Filiale du leader mondial de l’ingénierie et du conseil en technologie créé en 2008 et présent à Fès, Rabat, Tétouan et Casablanca, compte aujourd’hui plus de 2300...","Détails de la mission : Nous travaillons avec les équipes business, product management et design pour concevoir des outils ergonomiques et fiables. Nous recherchons un Data Analyst Confirmé passionné et expérimenté...",,ALTEN Maroc,,,/offre-emploi-data-analyst-confirme-hf-recrutement-alten-maroc-rabat-171354.html,,,['Informatique'],03/06/2025,171354
Consultant SAP/BO | Rabat (Maroc),Hybride,CDI,,09/07/2025,"ALTEN DELIVERY CENTER MAROC, Filiale du leader mondial de l’ingénierie et du conseil en technologie créé en 2008 et présent à Fès, Rabat, Tétouan et Casablanca, compte aujourd’hui plus de 2300...","Le consultant SAP BO intègre le Centre de Services (CDS) ALTEN pour assurer le pilotage opérationnel, la qualité et la performance des livrables BO. Il assure : Une intervention active au sein de l’équipe ALTEN La...",,ALTEN Maroc,,,/offre-emploi-consultant-sapbo-recrutement-alten-maroc-rabat-171377.html,,,['Informatique'],03/06/2025,171377
Data Engineer Expérimenté DBT / SQL / BigQuery | Rabat (Maroc),Hybride,CDI,,09/07/2025,"ALTEN DELIVERY CENTER MAROC, Filiale du leader mondial de l’ingénierie et du conseil en technologie créé en 2008 et présent à Fès, Rabat, Tétouan et Casablanca, compte aujourd’hui plus de 2300...","Intégré(e) dans les équipes Plateforme Data le/la consultant(e) aura pour mission de contribuer à des projets Data en apportant son expertise sur les tâches suivantes : montée en compétence sur l'ETL BigL,...",,ALTEN Maroc,,,/offre-emploi-data-engineer-experimente-dbt-sql-bigquery-recrutement-alten-maroc-rabat-171378.html,,,['Informatique'],03/06/2025,171378
Coordinateur(trice) de Projet Réseau (H/F) | Rabat (Maroc),Hybride,CDI,,09/07/2025,"ALTEN DELIVERY CENTER MAROC, Filiale du leader mondial de l’ingénierie et du conseil en technologie créé en 2008 et présent à Fès, Rabat, Tétouan et Casablanca, compte aujourd’hui plus de 2300...","Description du poste En tant que Coordinateur(trice) de Projet Réseau, vous aurez comme missions : Assurer le suivi, la coordination et le reporting des projets stratégiques réseaux (XLAN, XWAN) de la DSR de notre...",,ALTEN Maroc,,,/offre-emploi-coordinateurtrice-de-projet-reseau-hf-recrutement-alten-maroc-rabat-171340.html,,,['Informatique'],03/06/2025,171340
Ingénieur Support FAI | Fès (Maroc),Hybride,Autre,,15/07/2025,"ALTEN DELIVERY CENTER MAROC, Filiale du leader mondial de l’ingénierie et du conseil en technologie créé en 2008 et présent à Fès, Rabat, Tétouan et Casablanca, compte aujourd’hui plus de 2300...","Vous aurez comme missions : - Traiter les plaintes unitaires « Grand Public » et « Entreprises » sur les périmètres d'accès ADSL , FTTH et les services associés (VOIP, IPTV.) - Analyser,...",,ALTEN Maroc,,,/offre-emploi-ingenieur-support-fai-recrutement-alten-maroc-fes-171592.html,,,['Informatique'],03/06/2025,171592
Data Analyst (H/F) | Rabat (Maroc),Non,CDI,,02/07/2025,"ALTEN DELIVERY CENTER MAROC, Filiale du leader mondial de l’ingénierie et du conseil en technologie créé en 2008 et présent à Fès, Rabat, Tétouan et Casablanca, compte aujourd’hui plus de 2300...","Au sein d’équipes pluridisciplinaires (business, produit, design), vous contribuerez à la création d’outils analytiques performants et ergonomiques. Nous recherchons un(e) Data Analyst junior passionné(e), capable de...",,ALTEN Maroc,,,/offre-emploi-data-analyst-hf-recrutement-alten-maroc-rabat-171182.html,,,['Informatique'],03/06/2025,171182
Ingénieur Devops | Rabat (Maroc),Non,CDI,,02/07/2025,"ALTEN DELIVERY CENTER MAROC, Filiale du leader mondial de l’ingénierie et du conseil en technologie créé en 2008 et présent à Fès, Rabat, Tétouan et Casablanca, compte aujourd’hui plus de 2300...","En tant qu'ingénieur Devops, vous serez amené à : · Déploiement en étant capable de publier une nouvelle version en acceptation/production (intégration continue) ; · Support dans l'analyse...",,ALTEN Maroc,,,/offre-emploi-ingenieur-devops-recrutement-alten-maroc-rabat-171172.html,,,['Informatique'],03/06/2025,171172
