title,company_name,description,posted_date:,niveau d'études requis,niveau d'expérience,contract_type,Region,Competence
Chef de Projet Infrastructure, RED TIC,Missions :Assurer la gestion des projets infrastructure selon les standards de gestion projetAssurer la coordination technique des...,04.08.2021 ,,,, Casablanca, 
Product Owner Environnement de Tests, RED TIC,Vos missions :Assurer l’interface avec le client  en termes de besoins d’environnements de test des projets...,04.08.2021 ,,,, Casablanca, 
Ingénieur Etudes et Développement (H/F), FONDATION ARRAWAJ,"Rattaché(e) à la Direction Organisation & Systèmes d'information de la Fondation Arrawaj, l'Ingénieur Etudes &...",25.08.2021 ,,,, Rabat, 
Agent HelpDesk, VHP ASSIST,Nous recrutons pour l'un de nos clients basé à Casablanca un Agent HelpDesk.Missions :Vous réceptionnez les appels d'une...,25.08.2021 ,,,, Casablanca, 
Ingénieur Logiciel Fullstack Java / J2EE (Confirmé - Sénior), ORANGE BUSINESS SERVICES,"Notre EntreprisePartenaire des entreprises en France et dans le monde, Orange Business Services est la branche B2B d'Orange, présent...",25.08.2021 ,,,, Rabat, 
Manager du Support Technique Franco-anglophone - Rabat, REKRUT'ACADEMY,Nous recrutons un Manager du support technique franco-anglophone - Rabat Mission : Manager et animer un groupe de...,25.08.2021 ,,,, Rabat, 
CASA /Conseiller clientèle francophone - TEMPS PARTIEL /7H-13H, JOB DEVELOPPEMENT,"Rattaché au Responsable du Groupe, le chargé de clientèle a pour mission de :Prendre en charge les demandes d’information ou de...",25.08.2021 ,,,, Casablanca, 
MARRAKECH / CHARGÉ DE CLIENTÈLE FRANCOPHONE EN RÉCEPTION D'APPEL, JOB DEVELOPPEMENT,"SANS frais de dossier et SANS proposition de formation nous recrutons GRATUITEMENT, EXPÉRIMENTÉS ET DÉBUTANTS pour le leader des centres d...",25.08.2021 ,,,, Marrakech, 
CASABLANCA / RÉCEPTION D'APPELS POUR SERVICE CLIENT MOBILE, JOB DEVELOPPEMENT,EXPERIMENTES OU DEBUTANTSNous recrutons des chargés de clientèle en réception d’appels pour le service client mobile d'un...,25.08.2021 ,,,, Casablanca, 
PROFILS FRANCOPHONES OU FRANCO-ANGLOPHONES A MARRAKECH, JOB DEVELOPPEMENT,"SANS frais de dossier et SANS proposition de formation nous recrutons GRATUITEMENT, EXPERIMENTES ET DEBUTANTS, pour le compte d'un...",25.08.2021 ,,,, Marrakech, 
CASA /TÉLÉCONSEILLERS francophones en réception TEMPS PARTIEL /7H-13H, JOB DEVELOPPEMENT,"Rattaché au Responsable du Groupe, le chargé de clientèle a pour mission de :Prendre en charge les demandes d’information ou de...",25.08.2021 ,,,, Casablanca, 
MARRAKECH CHARGES DE CLIENTÈLE ESPAGNOL/FRANÇAIS (réception d'appels), JOB DEVELOPPEMENT,Nous recrutons des charges de clientèle hispanophones en réception d'appels + mailing pour le service client d’un site E-Commerce.,25.08.2021 ,,,, Marrakech, 
Service Desk Agent Francophone H/F, ECONOCOM MAROC,Vos principales missions en tant que Technicien Service Desk.Résoudre les incidents techniques du client.Assurer le traitement des...,25.08.2021 ,,,, Rabat, 
MARRAKECH / TÉLÉCONSEILLERS EN RÉCEPTION D'APPELS + REBOND COMMERCIAL, JOB DEVELOPPEMENT,SANS frais de dossier et SANS proposition de formation nous recrutons GRATUITEMENT des CHARGES DE CLIENTÈLE Francophones en réceptions d...,24.08.2021 ,,,, Marrakech, 
DEVELOPPEUR WEB FRONT-END FRAÎCHEMENT DIPLÔMÉ - BD ANFA CASA/MAROC, PAUL & JOSÉ,"PAUL&JOSÉ filiale d'un groupe français, spécialisée dans le Digital, basée à Casablanca. Depuis 2010, nos équipes accompagnent...",24.08.2021 ,,,, Casablanca, 
Ingénieur Tests et Validation Logicielle/Hispanophone, VISION BUSINESS CONSULTING,"Pour son client espagnol, Vision Business Consulting est à la recherche d'un Ingénieur Tests et Validation Logicielle.Les principales...",24.08.2021 ,,,, Tanger, 
MARRAKECH CHARGES DE CLIENTÈLE ESPAGNOL/FRANÇAIS (réception d'appels), JOB DEVELOPPEMENT,Nous recrutons des charges de clientèle hispanophones en réception d'appels + mailing pour le service client d’un site E-Commerce.,24.08.2021 ,,,, Marrakech, 
MARRAKECH / CHARGÉ DE CLIENTÈLE FRANCOPHONE EN RÉCEPTION D'APPEL, JOB DEVELOPPEMENT,"SANS frais de dossier et SANS proposition de formation nous recrutons GRATUITEMENT, EXPÉRIMENTÉS ET DÉBUTANTS pour le leader des centres d...",24.08.2021 ,,,, Marrakech, 
CASABLANCA / TÉLÉCONSEILLERS POUR SERVICE CLIENT A CASANEARSHORE, JOB DEVELOPPEMENT,"SANS frais de dossier et SANS proposition de formation JOB DEVELOPPEMENT recrute GRATUITEMENT, EXPERIMENTES ET DEBUTANTSNous recrutons des...",24.08.2021 ,,,, Casablanca, 
Expert Réseaux Télécom, VISION BUSINESS CONSULTING,"Pour l'un de nos clients du secteur bancaire, nous sommes à la recherche d'un Expert Réseaux Télécom, qui aura comme...",23.08.2021 ,,,, Casablanca, 
Intégrateur de Production, VISION BUSINESS CONSULTING,"Pour l’un de nos clients du secteur bancaire, Nous sommes à la recherche d'un Intégrateur de Production.Les principales...",23.08.2021 ,,,, Casablanca, 
CASA /Conseiller clientèle francophone - TEMPS PARTIEL /7H-13H, JOB DEVELOPPEMENT,"Rattaché au Responsable du Groupe, le chargé de clientèle a pour mission de :Prendre en charge les demandes d’information ou de...",23.08.2021 ,,,, Casablanca, 
PROFILS FRANCOPHONES OU FRANCO-ANGLOPHONES A MARRAKECH, JOB DEVELOPPEMENT,"SANS frais de dossier et SANS proposition de formation nous recrutons GRATUITEMENT, EXPERIMENTES ET DEBUTANTS, pour le compte d'un...",23.08.2021 ,,,, Marrakech, 
CASABLANCA / TÉLÉCONSEILLERS POUR SERVICE CLIENT A CASANEARSHORE, JOB DEVELOPPEMENT,"SANS frais de dossier et SANS proposition de formation JOB DEVELOPPEMENT recrute GRATUITEMENT, EXPERIMENTES ET DEBUTANTSNous recrutons des...",23.08.2021 ,,,, Casablanca, 
MARRAKECH / TÉLÉCONSEILLERS EN RÉCEPTION D'APPELS + REBOND COMMERCIAL, JOB DEVELOPPEMENT,SANS frais de dossier et SANS proposition de formation nous recrutons GRATUITEMENT des CHARGES DE CLIENTÈLE Francophones en réceptions d...,23.08.2021 ,,,, Marrakech, 
CASABLANCA / RÉCEPTION D'APPELS AU CENTRE VILLE ENTRE 8H ET 20H, JOB DEVELOPPEMENT,Nous recrutons des charges de clientèle en réception d'appels au centre ville.Votre mission : Consiste à donner aux clients les...,23.08.2021 ,,,, Casablanca, 
MARRAKECH / CHARGÉ DE CLIENTÈLE FRANCOPHONE EN RÉCEPTION D'APPEL, JOB DEVELOPPEMENT,"SANS frais de dossier et SANS proposition de formation nous recrutons GRATUITEMENT, EXPÉRIMENTÉS ET DÉBUTANTS pour le leader des centres d...",23.08.2021 ,,,, Marrakech, 
Consultant en Gouvernance SI, MAPPING TECHNOLOHIES,Nous recrutons un Consultant en Gouvernance SI (Consultant sénior en Gouvernance des Systèmes d'informations).,15.10.2021 ,,,, Rabat, 
Ingénieur Python Senior - Casablanca, EVEAD GROUP,"Nous sommes une jeune entreprise Casablancaise, spécialisée dans le développement de solutions innovantes autour des données (...",15.10.2021 ,,,, Casablanca, 
Développeur Java avec expérience significative - Freelance, BROCKHAUS,Nous recrutons des Développeurs Java avec expérience  significative - Freelance.C'est pour un projet de Développement destiné...,15.10.2021 ,,,, Casablanca, 
Développeurs Seniors JAVA / JEE (F/H), SIS CONSULTANTS,"SIS Consultants compte à son actif, plus de 750 projets et 450 clients référencés. Parmi ses domaines de compétences historiques, le...",15.10.2021 ,,,, Rabat, 
DevOps Engineer AWS, IMEDIA24GMBH/ACANDO,"What You Will Be DoingWork with cloud developers, product managers and designers to guide and make technical decisions throughout the...",15.10.2021 ,,,, Agadir - Casablanca - Fès - Laâyoune - Marrakech - Meknès - Oujda, 
Linux Sysadmin / Devops, QUINTEN,Nous recherchons un Sysadmin / DevopsVous serez intégré dans le processus de conception au sein d’un environnement de travail...,15.10.2021 ,,,, Casablanca, 
Ingénieur DBA / ETL Confirmé, TEAMWILL CONSULTING,"Afin de renforcer sa croissance, TW Maroc recherche un ingénieur DBA / ETL qui devra intégrer l’équipe « Data Analytics...",15.10.2021 ,,,, Casablanca, 
Développeur Senior H/F JAVA/ANGULAR, DIGITALMA,Vos missions :Analyser les cahiers de chargesProposer les solutions techniques et estimer les charges de mise en œuvreImplémenter la...,15.10.2021 ,,,, Agadir - Casablanca - Fès - Laâyoune - Marrakech - Meknès - Oujda, 
Développeur Sage X3, SRA AFRIQUE,"Nous cherchons des Développeurs pour participer à des missions de développement applicatif, en collaboration avec notre chef de projet...",15.10.2021 ,,,, Casablanca & International, 
Ingénieur Etudes et Développement (H/F), FONDATION ARRAWAJ,"Rattaché(e) à la Direction Organisation & Systèmes d'information de la Fondation Arrawaj, l'Ingénieur Etudes &...",16.10.2021 ,,,, Rabat, 
Assistant Graphiste - Casablanca, DAMA,Nous recrutons pour l’un de nos clients opérant dans le secteur audiovisuel un Assistant Graphiste à Casablanca.Missions :...,16.10.2021 ,,,, Casablanca, 
Développeur Web Front-end Fraîchement Diplômé - Bd Anfa Casablanca, PAUL & JOSÉ,"Pour faire face à son rapide développement, PAUL & JOSÉ recrute un(e) intégrateur débutant pour la découpe et l'intégration de...",16.10.2021 ,,,, Casablanca, 
Webdesigner - Designer UX/UI Sénior Polyvalent, PAUL & JOSÉ,En observant les publicités qui vous entourent vous n’y voyez que les défauts de conception.  Quand on vous offre cadeau vous...,16.10.2021 ,,,, Casablanca, 
Agents Support Informatique (H/F), ECONOCOM MAROC,Vos principales missions en tant que Technicien Service Desk :Résoudre les incidents techniques du client.Assurer le traitement des...,16.10.2021 ,,,, Rabat, 
