title,url,posted_date,end_date,number_of_positions,company_description,requirements
Business Intelligence Analyst/Microsoft Power BI | Rabat (Maroc),http://www.rekrute.com/web/20180506132020/http://www.rekrute.com/emploi-neotech-solutions-recrutement-business-intelligence-analystmicrosoft-power-bi-rabat-79165.html,04/05/2018,04/07/2018,2,Neotech Solutions est un cabinet de conseil spécialisé dans la transformation digitale des entreprises. Nous réalisons diverses missions de...,"Projets & Missions :


	Analyse des besoins clients et construction des dimensions d’analyse
	Modélisation multidimensionnelle
	Conception et..."
Consultants JAVA J2EE Confirmés et Seniors | Casablanca et Rabat (Maroc),http://www.rekrute.com/web/20180506132020/http://www.rekrute.com/emploi-dxc-technology-recrutement-consultants-java-j2ee-confirmes-et-seniors-casablanca-et-rabat-79164.html,04/05/2018,04/07/2018,5,DXC Technology est le fruit d’un partenariat stratégique entre Enterprise Services de Hewlett Packard Enterprise et l’investisseur n°1 au...,DXC technology recrute pour son centre à Casablanca et Rabat pour ses clients Offshore des Consultants Technico-Fonctionnel JAVA J2EE Confirmés et...
"Expert Technique JAVA/JEE | Technopolis, Salé (Maroc)",http://www.rekrute.com/web/20180506132020/http://www.rekrute.com/emploi-dxc-technology-recrutement-expert-technique-javajee-technopolis-sale-79163.html,04/05/2018,04/07/2018,3,DXC Technology est le fruit d’un partenariat stratégique entre Enterprise Services de Hewlett Packard Enterprise et l’investisseur n°1 au...,"Rédiger et mettre à jour les spécifications fonctionnelles et techniques,
	Analyser et résoudre les incidents techniques et mettre..."
"Développeur Cobol | Technopolis, Salé (Maroc)",http://www.rekrute.com/web/20180506132020/http://www.rekrute.com/emploi-dxc-technology-recrutement-developpeur-cobol-technopolis-sale-79162.html,04/05/2018,04/07/2018,2,DXC Technology est le fruit d’un partenariat stratégique entre Enterprise Services de Hewlett Packard Enterprise et l’investisseur n°1 au...,"Analyse et traitement des mainframes et programmes COBOL.
	Développement COBOL et dé-commissionnement d'applications.
	Rédaction de..."
Architecte performance SI | Casablanca (Maroc),http://www.rekrute.com/web/20180506132020/http://www.rekrute.com/emploi-novancy-one-recrutement-architecte-performance-si-casablanca-79158.html,04/05/2018,04/07/2018,1,"Basé à Casablanca, avec une présence à Paris, Tunis et Marrakech, le cabinet Novancy One (http://novancy.one) est...","Pour sa filiale marocaine, un Groupe européen cherche un Architecte performance SI H/F. Expérience requise de 6 ans 8 ans en tant..."
Consultant ECM FileNet ( H/F ) | Casablanca (Maroc),http://www.rekrute.com/web/20180506132020/http://www.rekrute.com/emploi-capgemini-recrutement-consultant-ecm-filenet-hf-casablanca-79154.html,04/05/2018,04/07/2018,10,"Avec plus de 190 000 collaborateurs, Capgemini est présent dans plus de 40 pays et célèbre son cinquantième anniversaire en 2017. Le...","En tant que  Consultant ECM FileNet vous serez amené à intervenir sur toutes les phases du projet, à savoir:


	Etude de besoin :..."
Leaders Techniques - TALEND | Rabat Technopolis (Maroc),http://www.rekrute.com/web/20180506132020/http://www.rekrute.com/emploi-cgi-technologies-et-solutions-maroc-recrutement-leaders-techniques---talend-rabat-technopolis-78894.html,04/05/2018,25/06/2018,5,"Fondée en 1976, CGI est la cinquième plus importante entreprise indépendante de services-conseils en technologie de l'information (TI)...","Dans le cadre de son développement, CGI à Rabat recrute des Leaders techniques TALEND.
	
	Vos missions:

	Fournir au client les..."
Consultant Sénior Oracle EBS | Rabat (Maroc),http://www.rekrute.com/web/20180506132020/http://www.rekrute.com/emploi-dxc-technology-recrutement-consultant-senior-oracle-ebs-rabat-79147.html,04/05/2018,04/07/2018,1,DXC Technology est le fruit d’un partenariat stratégique entre Enterprise Services de Hewlett Packard Enterprise et l’investisseur n°1 au...,"Missions:

Résoudre les problèmes complexes qui nécessitent une analyse très approfondie, force de proposition et..."
Ingénieur Analyste BI | rabat (Maroc),http://www.rekrute.com/web/20180506132020/http://www.rekrute.com/emploi-cgi-technologies-et-solutions-maroc-recrutement-ingenieur-analyste-bi-rabat-79140.html,03/05/2018,03/07/2018,3,"Fondé en 1976, Groupe CGI inc. est la cinquième plus importante entreprise indépendante de services en technologies de l’information...","Dans le cadre de notre croissance, nous recrutons, pour le site de  Rabat-Technopolis, des ingénieurs Analystes BI..."
Administrateur CloudOps Confirmé | Technopolis (Maroc),http://www.rekrute.com/web/20180506132020/http://www.rekrute.com/emploi-dxc-technology-recrutement-administrateur-cloudops-confirme-technopolis-79137.html,03/05/2018,03/07/2018,3,DXC Technology est le fruit d’un partenariat stratégique entre Enterprise Services de Hewlett Packard Enterprise et l’investisseur n°1 au...,"Mission:

C'est un poste de support technique niveau 2 pour la gestion d'environnement de production sur le cloud?.? L'environnement est..."
Administrateur CloudOps Senior | Technopolis (Maroc),http://www.rekrute.com/web/20180506132020/http://www.rekrute.com/emploi-dxc-technology-recrutement-administrateur-cloudops-senior-technopolis-79136.html,03/05/2018,03/07/2018,4,DXC Technology est le fruit d’un partenariat stratégique entre Enterprise Services de Hewlett Packard Enterprise et l’investisseur n°1 au...,"Mission:


C'est un poste de support technique niveau 3 pour la gestion d'environnement de production sur le cloud?.? L'environnement est..."
Ingénieur de Production H/F | Fès (Maroc),http://www.rekrute.com/web/20180506132020/http://www.rekrute.com/emploi-cgi-technologies-et-solutions-maroc-recrutement-ingenieur-de-production-hf-fes-79135.html,03/05/2018,03/07/2018,4,"Fondé en 1976, Groupe CGI inc. est la cinquième plus importante entreprise indépendante de services en technologies de l’information...","Dans le cadre de notre développement, nous recrutons des ingénieurs de production qui auront pour missions : 


	L’execution des plan s..."
Ingénieur de Production IT (H/F) | Lille (France),http://www.rekrute.com/web/20180506132020/http://www.rekrute.com/emploi-cooptalis-recrutement-ingenieur-de-production-it-hf-lille-79128.html,03/05/2018,03/07/2018,15,"Dans un marché du travail qui se mondialise, où la pénurie de talents est un challenge permanent pour les entreprises, où les...",Cooptalis recherche des Ingénieurs de Production (H/F) pour des Entreprises de Services du Numérique (ESN)...
